prompt,intent,classes
Unmerge cells FT2 to FV2 for distinct assessments.,Unmerge cells,entry and manipulation
Can you split the merged cells in FW3 to FW5 for individual comparisons?,Unmerge cells,entry and manipulation
Please unmerge cells FX2 to GA2 for separate summaries.,Unmerge cells,entry and manipulation
Split merged cells in column GB for distinct conclusions.,Unmerge cells,entry and manipulation
I want to unmerge cells horizontally from GC2 to GE,Unmerge cells,entry and manipulation
Unmerge cells GF3 to GF8 for separate recommendations.,Unmerge cells,entry and manipulation
Can you split the merged cells in GG2 to GI2 for distinct decisions?,Unmerge cells,entry and manipulation
Please unmerge cells GJ3 to GJ5 for individual action plans.,Unmerge cells,entry and manipulation
Split merged cells GK2 to GM2 for distinct implementations.,Unmerge cells,entry and manipulation
I need to unmerge cells GN3 to GN6 for separate reviews.,Unmerge cells,entry and manipulation
I need to split the comma-separated values in cell A1 into separate columns.,Split text to columns,entry and manipulation
Please divide the text in cell B2 by the semicolon delimiter and put each part in a separate column.,Split text to columns,entry and manipulation
Can you split the contents of cell C3 into multiple columns using the pipe symbol as the delimiter?,Split text to columns,entry and manipulation
I want to separate the text in cell D4 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the data in cell E5 into individual columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
I need to divide the content of cell F6 by the hyphen character and arrange each part in its own column.,Split text to columns,entry and manipulation
Can you split the text in cell G7 using the forward slash as the delimiter?,Split text to columns,entry and manipulation
"Please divide the contents of cell H8 into separate columns, using the underscore as the delimiter.",Split text to columns,entry and manipulation
"I want to split the data in cell I9 into multiple columns, using the asterisk as the delimiter.",Split text to columns,entry and manipulation
Please separate the text in cell J10 into different columns based on the period character.,Split text to columns,entry and manipulation
I need to split the comma-separated values in cell K11 into individual columns.,Split text to columns,entry and manipulation
Can you divide the content of cell L12 into separate columns using the hash symbol as the delimiter?,Split text to columns,entry and manipulation
Please split the text in cell M13 by the semicolon delimiter and organize each part into its own column.,Split text to columns,entry and manipulation
I want to separate the data in cell N14 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the content of cell O15 into multiple columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
I need to divide the text in cell P16 by the hyphen character and put each part in its own column.,Split text to columns,entry and manipulation
Can you split the contents of cell Q17 using the forward slash as the delimiter?,Split text to columns,entry and manipulation
"Please divide the data in cell R18 into separate columns, using the underscore as the delimiter.",Split text to columns,entry and manipulation
"I want to split the text in cell S19 into multiple columns, using the asterisk as the delimiter.",Split text to columns,entry and manipulation
Please separate the contents of cell T20 into different columns based on the period character.,Split text to columns,entry and manipulation
I need to split the comma-separated values in cell U21 into individual columns.,Split text to columns,entry and manipulation
Can you divide the content of cell V22 into separate columns using the hash symbol as the delimiter?,Split text to columns,entry and manipulation
Please split the text in cell W23 by the semicolon delimiter and organize each part into its own column.,Split text to columns,entry and manipulation
I want to separate the data in cell X24 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the content of cell Y25 into multiple columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
I need to divide the text in cell Z26 by the hyphen character and put each part in its own column.,Split text to columns,entry and manipulation
Can you split the contents of cell AA27 using the forward slash as the delimiter?,Split text to columns,entry and manipulation
"Please divide the data in cell AB28 into separate columns, using the underscore as the delimiter.",Split text to columns,entry and manipulation
"I want to split the text in cell AC29 into multiple columns, using the asterisk as the delimiter.",Split text to columns,entry and manipulation
Please separate the contents of cell AD30 into different columns based on the period character.,Split text to columns,entry and manipulation
I need to split the comma-separated values in cell AE31 into individual columns.,Split text to columns,entry and manipulation
Can you divide the content of cell AF32 into separate columns using the hash symbol as the delimiter?,Split text to columns,entry and manipulation
Please split the text in cell AG33 by the semicolon delimiter and organize each part into its own column.,Split text to columns,entry and manipulation
I want to separate the data in cell AH34 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the content of cell AI35 into multiple columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
I need to divide the text in cell AJ36 by the hyphen character and put each part in its own column.,Split text to columns,entry and manipulation
Can you split the contents of cell AK37 using the forward slash as the delimiter?,Split text to columns,entry and manipulation
"Please divide the data in cell AL38 into separate columns, using the underscore as the delimiter.",Split text to columns,entry and manipulation
"I want to split the text in cell AM39 into multiple columns, using the asterisk as the delimiter.",Split text to columns,entry and manipulation
Please separate the contents of cell AN40 into different columns based on the period character.,Split text to columns,entry and manipulation
I need to split the comma-separated values in cell AO41 into individual columns.,Split text to columns,entry and manipulation
Can you divide the content of cell AP42 into separate columns using the hash symbol as the delimiter?,Split text to columns,entry and manipulation
Please split the text in cell AQ43 by the semicolon delimiter and organize each part into its own column.,Split text to columns,entry and manipulation
I want to separate the data in cell AR44 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the content of cell AS45 into multiple columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
I need to divide the text in cell AT46 by the hyphen character and put each part in its own column.,Split text to columns,entry and manipulation
Can you split the contents of cell AU47 using the forward slash as the delimiter?,Split text to columns,entry and manipulation
"Please divide the data in cell AV48 into separate columns, using the underscore as the delimiter.",Split text to columns,entry and manipulation
"I want to split the text in cell AW49 into multiple columns, using the asterisk as the delimiter.",Split text to columns,entry and manipulation
Please separate the contents of cell AX50 into different columns based on the period character.,Split text to columns,entry and manipulation
I need to split the comma-separated values in cell AY51 into individual columns.,Split text to columns,entry and manipulation
Can you divide the content of cell AZ52 into separate columns using the hash symbol as the delimiter?,Split text to columns,entry and manipulation
Please split the text in cell BA53 by the semicolon delimiter and organize each part into its own column.,Split text to columns,entry and manipulation
I want to separate the data in cell BB54 into different columns based on the tab character.,Split text to columns,entry and manipulation
"Please split the content of cell BC55 into multiple columns, using the colon as the delimiter.",Split text to columns,entry and manipulation
